지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
북강릉,2015,2015-03-31,5일,2015-04-06,-2일,2015-04-20,6일,2015-04-06,2015-04-20 0:00,2015,14
북강릉,2016,2016-03-31,5일,2016-04-06,-2일,2016-04-09,-5일,2016-04-06,2016-04-09 0:00,2016,3
북강릉,2017,2017-04-04,9일,2017-04-08,0일,2017-04-13,-1일,2017-04-08,2017-04-13 0:00,2017,5
북강릉,2018,2018-03-30,4일,2018-04-02,-6일,2018-04-06,-8일,2018-04-02,2018-04-06 0:00,2018,4
북강릉,2019,2019-04-01,6일,2019-04-05,-3일,2019-04-08,-6일,2019-04-05,2019-04-08 0:00,2019,3
북강릉,2020,2020-03-21,-5일,2020-03-29,-10일,2020-04-03,-11일,2020-03-29,2020-04-03 0:00,2020,5
북강릉,2021,2021-03-23,-3일,2021-03-30,-9일,2021-04-06,-8일,2021-03-30,2021-04-06 0:00,2021,7
북강릉,2022,2022-03-06,-20일,2022-04-10,2일,2022-04-11,-3일,2022-04-10,2022-04-11 0:00,2022,1
북강릉,2023,2023-03-09,-17일,2023-03-31,-8일,2023-04-05,-9일,2023-03-31,2023-04-05 0:00,2023,5
북강릉,2024,2024-03-11,-15일,2024-04-08,0일,2024-04-11,-3일,2024-04-08,2024-04-11 0:00,2024,3
북춘천,2017,2017-04-03,-2일,2017-04-12,-5일,2017-04-17,,2017-04-12,2017-04-17 0:00,2017,5
북춘천,2018,2018-03-27,-9일,2018-04-18,1일,2018-04-21,,2018-04-18,2018-04-21 0:00,2018,3
북춘천,2019,2019-04-07,2일,2019-04-21,4일,2019-04-22,,2019-04-21,2019-04-22 0:00,2019,1
북춘천,2020,2020-04-02,-3일,2020-04-08,-9일,2020-04-14,,2020-04-08,2020-04-14 0:00,2020,6
북춘천,2021,2021-04-02,-3일,2021-04-10,-7일,2021-04-13,,2021-04-10,2021-04-13 0:00,2021,3
북춘천,2022,2022-04-12,7일,2022-04-14,-3일,2022-04-19,,2022-04-14,2022-04-19 0:00,2022,5
북춘천,2023,2023-04-01,-4일,2023-04-03,-14일,2023-04-08,,2023-04-03,2023-04-08 0:00,2023,5
북춘천,2024,2024-04-02,-3일,2024-04-10,-7일,2024-04-12,,2024-04-10,2024-04-12 0:00,2024,2
수원,2015,2015-03-27,-5일,2015-04-11,-3일,2015-04-16,-1일,2015-04-11,2015-04-16 0:00,2015,5
수원,2016,2016-03-27,-5일,2016-04-07,-7일,2016-04-10,-7일,2016-04-07,2016-04-10 0:00,2016,3
수원,2017,2017-03-24,-8일,2017-04-14,0일,2017-04-16,-1일,2017-04-14,2017-04-16 0:00,2017,2
수원,2018,2018-03-23,-9일,2018-04-11,-3일,2018-04-16,-1일,2018-04-11,2018-04-16 0:00,2018,5
수원,2019,2019-03-31,-1일,2019-04-13,-1일,2019-04-16,-1일,2019-04-13,2019-04-16 0:00,2019,3
수원,2020,2020-03-29,-3일,2020-04-07,-7일,2020-04-11,-6일,2020-04-07,2020-04-11 0:00,2020,4
수원,2021,2021-03-31,-1일,2021-04-05,-9일,2021-04-12,-5일,2021-04-05,2021-04-12 0:00,2021,7
수원,2022,2022-04-09,8일,2022-04-15,1일,2022-04-19,2일,2022-04-15,2022-04-19 0:00,2022,4
수원,2023,2023-04-03,2일,2023-04-09,-5일,2023-04-15,-2일,2023-04-09,2023-04-15 0:00,2023,6
수원,2024,2024-04-06,5일,2024-04-11,-3일,2024-04-13,-4일,2024-04-11,2024-04-13 0:00,2024,2
창원,2015,2015-03-23,6일,2015-04-02,1일,,,2015-04-02,2015-04-09 10:40,2015,
창원,2016,2016-03-24,7일,2016-03-31,-1일,2016-04-15,,2016-03-31,2016-04-15 0:00,2016,15
창원,2017,2017-03-23,6일,2017-04-03,2일,2017-04-16,,2017-04-03,2017-04-16 0:00,2017,13
창원,2018,2018-03-12,-5일,2018-04-02,1일,2018-04-07,,2018-04-02,2018-04-07 0:00,2018,5
창원,2019,2019-03-15,-2일,2019-03-26,-6일,2019-03-31,,2019-03-26,2019-03-31 0:00,2019,5
창원,2020,2020-03-10,-7일,2020-03-26,-6일,2020-04-02,,2020-03-26,2020-04-02 0:00,2020,7
창원,2021,2021-03-10,-7일,2021-03-23,-9일,2021-03-30,,2021-03-23,2021-03-30 0:00,2021,7
창원,2022,2022-03-17,0일,2022-03-30,-2일,2022-04-04,,2022-03-30,2022-04-04 0:00,2022,5
창원,2023,2023-03-16,-1일,2023-03-22,-10일,2023-03-26,,2023-03-22,2023-03-26 0:00,2023,4
창원,2024,2024-03-16,-1일,2024-03-30,-2일,2024-04-05,,2024-03-30,2024-04-05 0:00,2024,6
안동,2015,2015-03-27,-1일,2015-04-13,2일,,,2015-04-13,2015-04-16 2:40,2015,
안동,2016,2016-03-25,-3일,2016-04-05,-6일,2016-04-09,-4일,2016-04-05,2016-04-09 0:00,2016,4
안동,2017,2017-04-03,6일,2017-04-11,0일,2017-04-13,0일,2017-04-11,2017-04-13 0:00,2017,2
안동,2018,2018-04-01,4일,2018-04-04,-7일,2018-04-08,-5일,2018-04-04,2018-04-08 0:00,2018,4
안동,2019,2019-04-02,5일,2019-04-09,-2일,2019-04-11,-2일,2019-04-09,2019-04-11 0:00,2019,2
안동,2020,2020-03-22,-6일,2020-04-01,-10일,2020-04-03,-10일,2020-04-01,2020-04-03 0:00,2020,2
안동,2021,2021-03-22,-6일,2021-04-01,-10일,2021-04-03,-10일,2021-04-01,2021-04-03 0:00,2021,2
안동,2022,2022-03-23,-5일,2022-04-01,-10일,2022-04-07,-6일,2022-04-01,2022-04-07 0:00,2022,6
안동,2023,2023-03-08,-20일,2023-03-31,-11일,2023-04-02,-11일,2023-03-31,2023-04-02 0:00,2023,2
안동,2024,2024-03-13,-15일,2024-04-02,-9일,2024-04-06,-7일,2024-04-02,2024-04-06 0:00,2024,4
울릉도,2015,2015-03-27,-3일,2015-04-12,0일,,,2015-04-12,2015-04-16 21:20,2015,
울릉도,2016,2016-03-28,-2일,2016-04-12,0일,2016-04-15,,2016-04-12,2016-04-15 0:00,2016,3
울릉도,2017,2017-03-30,0일,2017-04-12,0일,2017-04-15,,2017-04-12,2017-04-15 0:00,2017,3
울릉도,2018,2018-03-27,-3일,2018-04-08,-4일,2018-04-11,,2018-04-08,2018-04-11 0:00,2018,3
울릉도,2019,2019-02-20,-38일,2019-03-18,-25일,2019-03-25,,2019-03-18,2019-03-25 0:00,2019,7
울릉도,2020,2020-03-22,-8일,2020-03-25,-18일,2020-03-31,,2020-03-25,2020-03-31 0:00,2020,6
울릉도,2021,2021-03-22,-8일,2021-03-25,-18일,2021-03-29,,2021-03-25,2021-03-29 0:00,2021,4
울릉도,2022,2022-03-28,-2일,2022-04-08,-4일,2022-04-18,,2022-04-08,2022-04-18 0:00,2022,10
울릉도,2023,2023-03-27,-3일,2023-04-05,-7일,2023-04-10,,2023-04-05,2023-04-10 0:00,2023,5
울릉도,2024,2024-04-08,9일,2024-04-14,2일,2024-04-17,,2024-04-14,2024-04-17 0:00,2024,3
포항,2015,2015-03-13,-3일,2015-03-28,1일,2015-04-07,-2일,2015-03-28,2015-04-07 0:00,2015,10
포항,2016,2016-03-22,6일,2016-03-31,4일,2016-04-02,-7일,2016-03-31,2016-04-02 0:00,2016,2
