지점,지점명,일시,평균기온(°C),평균최고기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,Jan-15,1.8,5.6,8.7,185.6,
90,속초,Feb-15,2.4,6.1,32.1,189.3,
90,속초,Mar-15,6.6,11.5,8,275.9,
90,속초,Apr-15,11.1,15.1,74.2,185.4,
90,속초,May-15,17.8,22.9,9.2,298.6,
90,속초,Jun-15,19.5,23.2,127.7,191,
90,속초,Jul-15,22.7,26.1,163.1,171.2,
90,속초,Aug-15,24.2,28,198.6,193.5,
90,속초,Sep-15,19.1,23.1,13.5,219,
90,속초,Oct-15,14.7,19.3,27.4,240.6,
90,속초,Nov-15,8.4,11.5,463.5,98.6,
90,속초,Dec-15,3,6.8,1.7,164.9,
90,속초,Jan-16,-1.2,2.7,6.6,191.1,
90,속초,Feb-16,0.8,4.3,38.3,197.6,
90,속초,Mar-16,7,11.4,31.8,209.6,
90,속초,Apr-16,12.6,17.8,77.5,222.9,
90,속초,May-16,17.2,22.6,35.7,261.1,
90,속초,Jun-16,20.6,24.3,62.2,175.3,
90,속초,Jul-16,22.9,25.8,477.8,119.2,
90,속초,Aug-16,25.5,29.3,186.9,220.7,
90,속초,Sep-16,20.4,23.6,126,130,
90,속초,Oct-16,15.3,19,128.5,140.8,
90,속초,Nov-16,8.4,12.6,40.8,172.2,
90,속초,Dec-16,4.4,8.4,121.7,164.8,
90,속초,Jan-17,0.8,5,82.4,215.4,
90,속초,Feb-17,3,7.5,3.2,222.2,
90,속초,Mar-17,7,11.4,48.7,199.8,
90,속초,Apr-17,14.8,20.1,46.8,255.2,
90,속초,May-17,18.7,23.8,25.2,272.3,
90,속초,Jun-17,19.8,23.8,69.7,204.7,
90,속초,Jul-17,25.6,29.1,270.3,165.4,
90,속초,Aug-17,23.7,26.7,424.9,107.2,
90,속초,Sep-17,20.8,25.1,50.5,249.2,
90,속초,Oct-17,14.5,18.8,135.4,157.7,
90,속초,Nov-17,7.8,12.3,41.2,218.5,
90,속초,Dec-17,0.7,4.7,9.9,230.3,
90,속초,Jan-18,-1.4,2.8,3.9,214.7,
90,속초,Feb-18,-0.5,3.9,54.4,218.5,
90,속초,Mar-18,8,12.5,55,171.2,
90,속초,Apr-18,13,18.8,141.7,227.6,
90,속초,May-18,15.9,20.7,123.6,186.4,
90,속초,Jun-18,21.3,25.9,46.5,208.8,
90,속초,Jul-18,25,28.7,185.4,209.3,
90,속초,Aug-18,25.6,29.2,625,185.3,
90,속초,Sep-18,20,23.8,66.1,196.1,
90,속초,Oct-18,13.5,17.9,257.6,229.5,
90,속초,Nov-18,9.2,13.3,207.4,165.7,
90,속초,Dec-18,1.6,5.8,10.4,208,
90,속초,Jan-19,1.7,6.3,8.7,232.1,
90,속초,Feb-19,2.5,6.5,27.6,215.2,
90,속초,Mar-19,8.2,13.1,44.4,233.1,
90,속초,Apr-19,11.9,16.6,80.9,230.5,
90,속초,May-19,19.8,25,5.7,296.2,
90,속초,Jun-19,20,24.1,97.8,224.8,
90,속초,Jul-19,24.7,28,234.4,196,
90,속초,Aug-19,25.7,29.4,293.5,230.7,
90,속초,Sep-19,20.9,24.7,209.9,145.2,
90,속초,Oct-19,16.1,20,185.5,157.7,
90,속초,Nov-19,9.4,13.9,157.3,186.9,
90,속초,Dec-19,4.2,8.4,9.8,194.7,
90,속초,Jan-20,3.4,7.2,148.1,163.3,
90,속초,Feb-20,4.1,8,55.8,194.1,
90,속초,Mar-20,7.9,12.6,38,263.7,
90,속초,Apr-20,11.3,16.1,38.4,256,
90,속초,May-20,17.1,21.6,245.1,218.5,
90,속초,Jun-20,22.2,26.4,271.9,238.7,
90,속초,Jul-20,21.6,24.7,374.7,168.5,
90,속초,Aug-20,25.7,29.6,411.3,128.4,
90,속초,Sep-20,20.1,23.8,482.8,152.5,
90,속초,Oct-20,14.3,19,0,231.3,
90,속초,Nov-20,10,14.4,19.2,204.5,
90,속초,Dec-20,1.8,6,0.5,228.4,
90,속초,Jan-21,-1.2,2.9,0,200.4,
90,속초,Feb-21,3.1,7.7,5,214.2,
90,속초,Mar-21,8,12.6,104.2,209,
90,속초,Apr-21,12.3,16.6,97.2,228.4,
90,속초,May-21,16.7,21.5,154.9,239.6,
90,속초,Jun-21,20.3,23.8,43.8,185.7,
90,속초,Jul-21,25.5,29.3,104.1,270,
90,속초,Aug-21,24.4,28,247.1,133,
90,속초,Sep-21,20.9,24.7,141.6,195.8,
90,속초,Oct-21,15.5,20,216.9,174,
90,속초,Nov-21,9.9,14.4,16.2,208.2,
90,속초,Dec-21,2.8,7.2,68.7,219.8,
90,속초,Jan-22,-0.6,3,3.6,227.2,
90,속초,Feb-22,0.3,4.3,11.1,243.8,
90,속초,Mar-22,7.1,11.3,114.5,189.4,
90,속초,Apr-22,14.2,19.1,33.5,269,
90,속초,May-22,18.5,23.7,9.1,312.7,
90,속초,Jun-22,20.9,24.7,248.7,169.6,
90,속초,Jul-22,24.3,27.7,213.1,135.5,
90,속초,Aug-22,24.6,28.4,323.7,151.1,0
90,속초,Sep-22,20.3,24.8,263.8,203.7,
90,속초,Oct-22,13.9,18.2,377.1,153.8,
90,속초,Nov-22,11,16,38.4,198.8,
90,속초,Dec-22,-0.2,4.1,0.7,233.5,
90,속초,Jan-23,0.2,4.6,94.7,215.7,
90,속초,Feb-23,2.7,6.6,43.4,186.6,
90,속초,Mar-23,9.3,13.4,10.1,224,
90,속초,Apr-23,12.6,17.4,57,212.2,
90,속초,May-23,17,21.8,81,232.6,
90,속초,Jun-23,21.9,26.2,200.1,244.9,
90,속초,Jul-23,25.8,30,108.2,184.5,
90,속초,Aug-23,24.7,28,669.6,121.9,
90,속초,Sep-23,21.7,25.1,208.2,156.6,
90,속초,Oct-23,16.4,21.2,31.4,218.1,
90,속초,Nov-23,8.8,13.6,60.1,208.7,
90,속초,Dec-23,2.3,5.9,205,174,
90,속초,Jan-24,0.6,4.6,11.6,203.4,
90,속초,Feb-24,1.9,5.7,125.7,109.7,
90,속초,Mar-24,5.7,10,58.6,212.9,
90,속초,Apr-24,13.9,18.4,63.4,195.2,211.45
90,속초,May-24,17.8,22.7,63.4,253.2,646.8
90,속초,Jun-24,22.3,26.1,133.8,279.7,687.49
90,속초,Jul-24,26.8,30.3,109.3,150.5,498.29
90,속초,Aug-24,27.6,31.2,46.4,229,588.88
90,속초,Sep-24,22.1,25.3,457.9,114.2,336.95
90,속초,Oct-24,16.1,20.2,143.2,131.8,291.84
90,속초,Nov-24,10.8,15.2,17.6,169,269.69
90,속초,Dec-24,3.1,7.2,3.2,222.3,269.29
93,북춘천,Oct-16,14.1,20.9,112.1,185.3,381.67
93,북춘천,Nov-16,5.1,11.2,13.2,147.4,259.88
93,북춘천,Dec-16,-0.2,5.3,83.1,142.3,204.42
93,북춘천,Jan-17,-3.4,3.3,15.9,204.2,286.3
93,북춘천,Feb-17,-1.5,5.4,11,214.9,356.79
93,북춘천,Mar-17,4.6,12.2,17.9,212.4,436.28
93,북춘천,Apr-17,13.2,21,54.1,257.3,560.07
93,북춘천,May-17,18.6,26.2,25.5,280.1,645.7
93,북춘천,Jun-17,22.3,29.6,38.1,271.2,656.82
93,북춘천,Jul-17,26.3,30.7,477.8,126.4,421.28
93,북춘천,Aug-17,24.4,29.6,376.3,150.3,438.14
93,북춘천,Sep-17,19.1,26.5,33.8,220.3,480.31
93,북춘천,Oct-17,13.5,21,42.6,196.9,366.06
93,북춘천,Nov-17,3.2,9.9,15.9,185.3,267.52
93,북춘천,Dec-17,-4.3,1.5,24.5,183.8,248.12
93,북춘천,Jan-18,-6,0.6,6.5,203,297.61
93,북춘천,Feb-18,-3.4,3.6,33,214.2,345.45
93,북춘천,Mar-18,7,13.8,32,204.3,434.45
93,북춘천,Apr-18,12,19.5,117.2,218.7,505.89
93,북춘천,May-18,17.2,23.9,200.5,233.2,577.58
93,북춘천,Jun-18,22.6,29.3,88.6,252.8,628.31
93,북춘천,Jul-18,26.3,31.8,189.7,243.9,520.07
93,북춘천,Aug-18,26.9,32.9,354.6,223,464.48
93,북춘천,Sep-18,19.1,25.7,63,205.5,397.14
93,북춘천,Oct-18,10.3,17.9,102.6,200.3,314.48
93,북춘천,Nov-18,5.1,12.1,56.9,148.2,206.42
93,북춘천,Dec-18,-3.2,3.4,17.3,194.9,216.07
93,북춘천,Jan-19,-3.9,4.2,0.2,228.9,251.44
93,북춘천,Feb-19,-0.6,5.9,27.5,201.8,324.29
93,북춘천,Mar-19,5,12.3,30.9,199.4,431.23
93,북춘천,Apr-19,10.6,18.3,49.7,205.8,525.84
93,북춘천,May-19,18.3,26.6,31.4,298.6,742.98
93,북춘천,Jun-19,21.4,27.8,88.7,235,652.98
93,북춘천,Jul-19,25,29.9,252.2,140.5,494.97
93,북춘천,Aug-19,25.6,31.2,186.6,220.9,583.7
93,북춘천,Sep-19,20.7,26.5,147.9,138.1,395.49
93,북춘천,Oct-19,14,20.7,48.4,189.2,372.17
