지점,년도,복숭아,복숭아,복숭아,복숭아,복숭아,복숭아
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
북강릉,2018,2018-03-30,4일,2018-04-02,-6일,2018-04-06,-8일
북강릉,2019,2019-04-01,6일,2019-04-05,-3일,2019-04-08,-6일
북강릉,2020,2020-03-21,-5일,2020-03-29,-10일,2020-04-03,-11일
북강릉,2021,2021-03-23,-3일,2021-03-30,-9일,2021-04-06,-8일
북강릉,2022,2022-03-06,-20일,2022-04-10,2일,2022-04-11,-3일
북강릉,2023,2023-03-09,-17일,2023-03-31,-8일,2023-04-05,-9일
북강릉,2024,2024-03-11,-15일,2024-04-08,0일,2024-04-11,-3일
북춘천,2018,2018-03-27,-9일,2018-04-18,1일,2018-04-21, 
북춘천,2019,2019-04-07,2일,2019-04-21,4일,2019-04-22, 
북춘천,2020,2020-04-02,-3일,2020-04-08,-9일,2020-04-14, 
북춘천,2021,2021-04-02,-3일,2021-04-10,-7일,2021-04-13, 
북춘천,2022,2022-04-12,7일,2022-04-14,-3일,2022-04-19, 
북춘천,2023,2023-04-01,-4일,2023-04-03,-14일,2023-04-08, 
북춘천,2024,2024-04-02,-3일,2024-04-10,-7일,2024-04-12, 
수원,2018,2018-03-23,-9일,2018-04-11,-3일,2018-04-16,-1일
수원,2019,2019-03-31,-1일,2019-04-13,-1일,2019-04-16,-1일
수원,2020,2020-03-29,-3일,2020-04-07,-7일,2020-04-11,-6일
수원,2021,2021-03-31,-1일,2021-04-05,-9일,2021-04-12,-5일
수원,2022,2022-04-09,8일,2022-04-15,1일,2022-04-19,2일
수원,2023,2023-04-03,2일,2023-04-09,-5일,2023-04-15,-2일
수원,2024,2024-04-06,5일,2024-04-11,-3일,2024-04-13,-4일
창원,2018,2018-03-12,-5일,2018-04-02,1일,2018-04-07, 
창원,2019,2019-03-15,-2일,2019-03-26,-6일,2019-03-31, 
창원,2020,2020-03-10,-7일,2020-03-26,-6일,2020-04-02, 
창원,2021,2021-03-10,-7일,2021-03-23,-9일,2021-03-30, 
창원,2022,2022-03-17,0일,2022-03-30,-2일,2022-04-04, 
창원,2023,2023-03-16,-1일,2023-03-22,-10일,2023-03-26, 
창원,2024,2024-03-16,-1일,2024-03-30,-2일,2024-04-05, 
안동,2018,2018-04-01,4일,2018-04-04,-7일,2018-04-08,-5일
안동,2019,2019-04-02,5일,2019-04-09,-2일,2019-04-11,-2일
안동,2020,2020-03-22,-6일,2020-04-01,-10일,2020-04-03,-10일
안동,2021,2021-03-22,-6일,2021-04-01,-10일,2021-04-03,-10일
안동,2022,2022-03-23,-5일,2022-04-01,-10일,2022-04-07,-6일
안동,2023,2023-03-08,-20일,2023-03-31,-11일,2023-04-02,-11일
안동,2024,2024-03-13,-15일,2024-04-02,-9일,2024-04-06,-7일
울릉도,2018,2018-03-27,-3일,2018-04-08,-4일,2018-04-11, 
울릉도,2019,2019-02-20,-38일,2019-03-18,-25일,2019-03-25, 
울릉도,2020,2020-03-22,-8일,2020-03-25,-18일,2020-03-31, 
울릉도,2021,2021-03-22,-8일,2021-03-25,-18일,2021-03-29, 
울릉도,2022,2022-03-28,-2일,2022-04-08,-4일,2022-04-18, 
울릉도,2023,2023-03-27,-3일,2023-04-05,-7일,2023-04-10, 
울릉도,2024,2024-04-08,9일,2024-04-14,2일,2024-04-17, 
포항,2018,2018-03-10,-6일,2018-03-14,-13일,2018-04-04,-5일
포항,2019,2019-03-16,0일,2019-03-28,1일,2019-04-03,-6일
포항,2020,2020-03-15,-1일,2020-03-23,-4일,2020-03-25,-15일
포항,2021,2021-03-11,-5일,2021-03-23,-4일,2021-03-25,-15일
포항,2022,2022-02-03,-41일,2022-02-09,-46일,2022-03-14,-26일
포항,2023,2023-02-03,-41일,2023-03-10,-17일,2023-03-22,-18일
포항,2024,2024-03-14,-2일,2024-04-01,5일,2024-04-04,-5일
