시도별,2018,2019,2020,2021,2022,2023,2024
시도별,복숭아:생산량 (톤),복숭아:생산량 (톤),복숭아:생산량 (톤),복숭아:생산량 (톤),복숭아:생산량 (톤),복숭아:생산량 (톤),복숭아:생산량 (톤)
계,206889,210345,189058,192094,191310,182975,194801
서울특별시,2,0,0,1,1,0,0
부산광역시,58,77,67,65,77,92,118
대구광역시,2579,2529,2346,1945,1899,1902,4498
인천광역시,58,100,113,15,27,29,29
광주광역시,712,994,602,511,339,219,98
대전광역시,555,450,540,485,468,679,721
울산광역시,148,96,113,159,218,320,299
세종특별자치시,4876,5524,2607,3570,3678,2818,3031
경기도,9309,7218,7247,6716,6181,6260,6150
강원도,3861,4224,3851,5483,5741,5679,6124
충청북도,50690,55465,45073,46063,45070,47024,47559
충청남도,3805,3205,2799,2619,2282,2256,1907
전라북도,13296,13727,13838,13034,13230,12143,11058
전라남도,4364,6187,5702,5779,6532,4898,4556
경상북도,108693,105669,98440,101503,101250,95221,104457
경상남도,3862,4876,5716,4145,4317,3432,4195
제주도,21,4,3,1,0,3,1
