지역,2018년 면적(ha),2019년 면적(ha),2020년 면적(ha),2021년 면적(ha),2022년 면적(ha),2023년 면적(ha),2024년 면적(ha)
전국,"21,088","20,634","20,450","19,475","21,087","20,127","20,296"
경상북도,"9,767","9,578","9,764","9,432","10,017","10,002","10,252"
충청북도,"5,756","5,569","5,354","4,927","4,962","4,661","4,517"
전북특별자치도,"1,374","1,345","1,309","1,067","1,144","1,171","1,137"
경기도,"1,127","1,011",978,895,831,889,885
전라남도,710,780,788,777,911,966,923
강원특별자치도,559,590,584,735,"1,540",815,751
경상남도,484,492,487,472,492,489,567
세종특별자치시,478,457,400,503,555,492,447
충청남도,379,371,370,293,280,276,242
대구광역시,259,227,209,233,214,225,453
광주광역시,89,86,76,54,35,36,18
대전광역시,57,47,58,47,50,46,47
울산광역시,21,23,23,30,42,41,40
인천광역시,19,24,20,2,4,4,4
부산광역시,7,11,11,6,8,13,12
제주특별자치도,2,23,19,0,0,1,1
서울특별시,0,0,0,2,2,0,0
,,,,,,,
