시도별,연도,복숭아:생산량 (톤),총합_냉해_스트레스_일수
서울특별시,2018,2,0.0
부산광역시,2018,58,0.0
대구광역시,2018,2579,3.0
인천광역시,2018,58,0.0
광주광역시,2018,712,0.0
대전광역시,2018,555,0.0
울산광역시,2018,148,0.0
세종특별자치시,2018,4876,
경기도,2018,9309,1.0
강원도,2018,3861,1.0
충청북도,2018,50690,2.0
충청남도,2018,3805,1.0
전라북도,2018,13296,0.0
전라남도,2018,4364,0.0
경상북도,2018,108693,0.0
경상남도,2018,3862,1.0
제주도,2018,21,0.0
서울특별시,2019,0,0.0
부산광역시,2019,77,0.0
대구광역시,2019,2529,1.0
인천광역시,2019,100,0.0
광주광역시,2019,994,4.0
대전광역시,2019,450,2.0
울산광역시,2019,96,0.0
세종특별자치시,2019,5524,
경기도,2019,7218,2.0
강원도,2019,4224,1.0
충청북도,2019,55465,2.0
충청남도,2019,3205,1.0
전라북도,2019,13727,2.0
전라남도,2019,6187,0.0
경상북도,2019,105669,2.0
경상남도,2019,4876,1.0
제주도,2019,4,0.0
서울특별시,2020,0,0.0
부산광역시,2020,67,1.0
대구광역시,2020,2346,0.0
인천광역시,2020,113,0.0
광주광역시,2020,602,3.0
대전광역시,2020,540,0.0
울산광역시,2020,113,0.0
세종특별자치시,2020,2607,
경기도,2020,7247,1.0
강원도,2020,3851,7.0
충청북도,2020,45073,2.0
충청남도,2020,2799,3.0
전라북도,2020,13838,1.0
전라남도,2020,5702,3.0
경상북도,2020,98440,2.0
경상남도,2020,5716,0.0
제주도,2020,3,0.0
서울특별시,2021,1,0.0
부산광역시,2021,65,0.0
대구광역시,2021,1945,0.0
인천광역시,2021,15,0.0
광주광역시,2021,511,3.0
대전광역시,2021,485,0.0
울산광역시,2021,159,0.0
세종특별자치시,2021,3570,
경기도,2021,6716,0.0
강원도,2021,5483,1.0
충청북도,2021,46063,0.0
충청남도,2021,2619,0.0
전라북도,2021,13034,0.0
전라남도,2021,5779,0.0
경상북도,2021,101503,1.0
경상남도,2021,4145,0.0
제주도,2021,1,0.0
서울특별시,2022,1,0.0
부산광역시,2022,77,0.0
대구광역시,2022,1899,0.0
인천광역시,2022,27,0.0
광주광역시,2022,339,5.0
대전광역시,2022,468,2.0
울산광역시,2022,218,0.0
세종특별자치시,2022,3678,
경기도,2022,6181,0.0
강원도,2022,5741,2.0
충청북도,2022,45070,0.0
충청남도,2022,2282,5.0
전라북도,2022,13230,0.0
전라남도,2022,6532,0.0
경상북도,2022,101250,25.0
경상남도,2022,4317,0.0
제주도,2022,0,0.0
서울특별시,2023,0,0.0
부산광역시,2023,92,0.0
대구광역시,2023,1902,0.0
인천광역시,2023,29,0.0
광주광역시,2023,219,2.0
대전광역시,2023,679,1.0
울산광역시,2023,320,0.0
세종특별자치시,2023,2818,
경기도,2023,6260,0.0
강원도,2023,5679,3.0
충청북도,2023,47024,1.0
충청남도,2023,2256,0.0
전라북도,2023,12143,1.0
전라남도,2023,4898,0.0
경상북도,2023,95221,12.0
경상남도,2023,3432,0.0
제주도,2023,3,0.0
서울특별시,2024,0,0.0
부산광역시,2024,118,0.0
대구광역시,2024,4498,2.0
인천광역시,2024,29,0.0
광주광역시,2024,98,0.0
대전광역시,2024,721,1.0
울산광역시,2024,299,1.0
세종특별자치시,2024,3031,
경기도,2024,6150,0.0
강원도,2024,6124,3.0
충청북도,2024,47559,3.0
충청남도,2024,1907,0.0
전라북도,2024,11058,1.0
전라남도,2024,4556,0.0
경상북도,2024,104457,4.0
경상남도,2024,4195,0.0
제주도,2024,1,0.0
