시도명,연도,복숭아:생산량 (톤),총합_냉해_스트레스_일수,폭염일수 평균,장마_평균_일강수량(mm),생육기_최고기온(°C)
서울특별시,2018,2,0.0,35.0,20.131,39.6
부산광역시,2018,58,0.0,18.0,18.684,36.4
대구광역시,2018,2579,3.0,38.0,17.94,39.2
인천광역시,2018,58,0.0,19.0,15.206,35.9
광주광역시,2018,712,0.0,43.0,23.046,38.5
대전광역시,2018,555,0.0,37.0,24.414,39.4
울산광역시,2018,148,0.0,23.0,13.684,37.3
세종특별자치시,2018,4876,,37.0,24.414,39.4
경기도,2018,9309,1.0,34.8,22.344,40.1
강원도,2018,3861,1.0,24.69,18.202,41.0
충청북도,2018,50690,2.0,37.5,20.205,40.0
충청남도,2018,3805,1.0,32.0,21.344,39.3
전라북도,2018,13296,0.0,35.2,23.499,38.9
전라남도,2018,4364,0.0,23.07,22.005,37.6
경상북도,2018,108693,0.0,30.87,15.718,40.4
경상남도,2018,3862,1.0,36.0,20.051,39.5
제주도,2018,21,0.0,9.0,12.932,35.5
서울특별시,2019,0,0.0,14.0,7.366,36.8
부산광역시,2019,77,0.0,3.0,28.586,35.0
대구광역시,2019,2529,1.0,24.0,13.748,36.9
인천광역시,2019,100,0.0,8.5,9.817,36.0
광주광역시,2019,994,4.0,12.0,13.019,34.8
대전광역시,2019,450,2.0,18.0,9.732,36.0
울산광역시,2019,96,0.0,8.0,18.724,35.0
세종특별자치시,2019,5524,,11.0,16.172,35.5
경기도,2019,7218,2.0,14.8,10.885,37.3
강원도,2019,4224,1.0,10.77,8.659,37.1
충청북도,2019,55465,2.0,15.5,8.785,36.7
충청남도,2019,3205,1.0,10.5,9.481,36.4
전라북도,2019,13727,2.0,12.0,13.659,36.0
전라남도,2019,6187,0.0,7.0,18.931,35.4
경상북도,2019,105669,2.0,14.21,10.653,37.6
경상남도,2019,4876,1.0,14.21,22.274,36.9
제주도,2019,4,0.0,5.0,23.754,35.4
서울특별시,2020,0,0.0,3.0,13.337,35.4
부산광역시,2020,67,1.0,4.0,34.403,33.2
대구광역시,2020,2346,0.0,26.0,13.421,37.0
인천광역시,2020,113,0.0,1.0,13.887,34.2
광주광역시,2020,602,3.0,11.0,20.883,34.4
대전광역시,2020,540,0.0,11.0,20.097,35.4
울산광역시,2020,113,0.0,11.0,23.346,35.5
세종특별자치시,2020,2607,,9.0,18.857,34.8
경기도,2020,7247,1.0,3.6,14.105,35.5
강원도,2020,3851,7.0,6.18,14.306,36.8
충청북도,2020,45073,2.0,6.0,16.221,36.0
충청남도,2020,2799,3.0,4.0,17.617,34.9
전라북도,2020,13838,1.0,7.78,17.802,35.1
전라남도,2020,5702,3.0,5.58,19.355,35.7
경상북도,2020,98440,2.0,10.33,17.856,36.9
경상남도,2020,5716,0.0,9.86,25.393,37.8
제주도,2020,3,0.0,7.5,15.961,36.3
서울특별시,2021,1,0.0,18.0,10.47,36.5
부산광역시,2021,65,0.0,3.0,26.447,35.6
대구광역시,2021,1945,0.0,22.0,6.715,37.2
인천광역시,2021,15,0.0,8.5,5.298,34.8
광주광역시,2021,511,3.0,14.0,11.38,35.1
대전광역시,2021,485,0.0,21.0,8.388,36.1
울산광역시,2021,159,0.0,7.0,11.453,34.2
세종특별자치시,2021,3570,,16.0,10.325,34.8
경기도,2021,6716,0.0,16.0,6.443,36.3
강원도,2021,5483,1.0,14.91,8.413,36.9
충청북도,2021,46063,0.0,16.25,10.68,36.4
충청남도,2021,2619,0.0,14.33,8.574,35.8
전라북도,2021,13034,0.0,13.1,10.595,36.3
전라남도,2021,5779,0.0,6.33,21.719,36.5
경상북도,2021,101503,1.0,13.58,9.077,37.0
경상남도,2021,4145,0.0,15.86,18.255,38.3
제주도,2021,1,0.0,7.5,11.189,34.2
서울특별시,2022,1,0.0,10.0,22.143,36.1
부산광역시,2022,77,0.0,1.0,10.087,33.1
대구광역시,2022,1899,0.0,35.0,6.064,37.8
인천광역시,2022,27,0.0,2.0,21.557,35.2
광주광역시,2022,339,5.0,16.0,9.889,34.8
대전광역시,2022,468,2.0,19.0,10.611,35.7
울산광역시,2022,218,0.0,10.0,8.633,35.2
세종특별자치시,2022,3678,,15.0,17.51,35.1
경기도,2022,6181,0.0,7.2,23.238,35.4
강원도,2022,5741,2.0,8.77,14.588,37.7
충청북도,2022,45070,0.0,11.25,14.77,36.0
충청남도,2022,2282,5.0,8.83,12.617,35.0
전라북도,2022,13230,0.0,9.3,8.562,35.8
전라남도,2022,6532,0.0,7.78,10.93,35.0
경상북도,2022,101250,25.0,16.07,8.255,37.9
경상남도,2022,4317,0.0,18.0,9.735,36.6
제주도,2022,0,0.0,12.0,12.73,37.5
서울특별시,2023,0,0.0,18.0,21.029,35.8
부산광역시,2023,92,0.0,11.5,25.023,35.7
대구광역시,2023,1902,0.0,24.0,16.382,37.7
인천광역시,2023,29,0.0,2.0,17.662,34.6
광주광역시,2023,219,2.0,18.0,37.063,35.7
대전광역시,2023,679,1.0,23.0,30.73,35.7
울산광역시,2023,320,0.0,6.0,13.87,34.9
세종특별자치시,2023,2818,,19.0,34.968,35.9
경기도,2023,6260,0.0,13.4,23.081,35.6
강원도,2023,5679,3.0,15.31,16.882,38.4
충청북도,2023,47024,1.0,16.6,28.075,36.4
충청남도,2023,2256,0.0,15.0,26.666,36.2
전라북도,2023,12143,1.0,16.2,30.048,37.0
전라남도,2023,4898,0.0,10.08,25.062,36.6
경상북도,2023,95221,12.0,14.0,20.398,37.8
경상남도,2023,3432,0.0,18.36,24.391,37.8
제주도,2023,3,0.0,8.67,14.682,37.3
서울특별시,2024,0,0.0,28.0,20.484,36.4
부산광역시,2024,118,0.0,26.0,15.346,37.0
대구광역시,2024,4498,2.0,41.0,15.971,37.2
인천광역시,2024,29,0.0,7.5,15.6,35.6
광주광역시,2024,98,0.0,27.0,13.545,37.2
대전광역시,2024,721,1.0,31.0,20.641,36.6
울산광역시,2024,299,1.0,19.0,13.63,35.9
세종특별자치시,2024,3031,,25.0,22.21,35.3
경기도,2024,6150,0.0,19.6,21.816,36.0
강원도,2024,6124,3.0,20.62,15.599,38.5
충청북도,2024,47559,3.0,20.8,22.815,37.0
충청남도,2024,1907,0.0,23.67,23.948,36.7
