시도명,연도,복숭아:생산량 (톤),총합_냉해_스트레스_일수,재배면적 (ha),폭염일수 평균,장마_평균_일강수량(mm),생육기_최고기온(°C),평균 일조시간(시간)
서울특별시,2018,2,0,0,35.0,20.131,39.6,1371
부산광역시,2018,58,0,7,18.0,18.684,36.4,1347
대구광역시,2018,2579,3,259,38.0,17.94,39.2,1241
인천광역시,2018,58,0,19,19.0,15.206,35.9,1312
광주광역시,2018,712,0,89,43.0,23.046,38.5,1235
대전광역시,2018,555,0,57,37.0,24.414,39.4,1365
울산광역시,2018,148,0,21,23.0,13.684,37.3,1293
세종특별자치시,2018,4876,0,478,37.0,24.414,39.4,1365
경기도,2018,9309,1,1127,34.8,22.344,40.1,1338
강원도,2018,3861,1,559,24.69,18.202,41.0,1250
충청북도,2018,50690,2,5756,37.5,20.205,40.0,1284
충청남도,2018,3805,1,379,32.0,21.344,39.3,1298
전라북도,2018,13296,0,1374,35.2,23.499,38.9,1273
전라남도,2018,4364,0,710,23.07,22.005,37.6,1192
경상북도,2018,108693,0,9767,30.87,15.718,40.4,1251
경상남도,2018,3862,1,484,36.0,20.051,39.5,1186
제주도,2018,21,0,2,9.0,12.932,35.5,1153
서울특별시,2019,0,0,0,14.0,7.366,36.8,1329
부산광역시,2019,77,0,11,3.0,28.586,35.0,1337
대구광역시,2019,2529,1,227,24.0,13.748,36.9,1215
인천광역시,2019,100,0,24,8.5,9.817,36.0,1349
광주광역시,2019,994,4,86,12.0,13.019,34.8,1139
대전광역시,2019,450,2,47,18.0,9.732,36.0,1294
울산광역시,2019,96,0,23,8.0,18.724,35.0,1327
세종특별자치시,2019,5524,2,457,11.0,16.172,35.5,729
세종특별자치시,2019,5524,2,457,11.0,16.172,35.5,1365
경기도,2019,7218,2,1011,14.8,10.885,37.3,1268
강원도,2019,4224,1,590,10.77,8.659,37.1,1226
충청북도,2019,55465,2,5569,15.5,8.785,36.7,1169
충청남도,2019,3205,1,371,10.5,9.481,36.4,1148
전라북도,2019,13727,2,1345,12.0,13.659,36.0,1157
전라남도,2019,6187,0,780,7.0,18.931,35.4,1138
경상북도,2019,105669,2,9578,14.21,10.653,37.6,1242
경상남도,2019,4876,1,492,14.21,22.274,36.9,1186
제주도,2019,4,0,23,5.0,23.754,35.4,1158
서울특별시,2020,0,0,0,3.0,13.337,35.4,1036
부산광역시,2020,67,1,11,4.0,34.403,33.2,1161
대구광역시,2020,2346,0,209,26.0,13.421,37.0,1182
인천광역시,2020,113,0,20,1.0,13.887,34.2,1146
광주광역시,2020,602,3,76,11.0,20.883,34.4,1079
대전광역시,2020,540,0,58,11.0,20.097,35.4,1220
울산광역시,2020,113,0,23,11.0,23.346,35.5,1288
세종특별자치시,2020,2607,0,400,9.0,18.857,34.8,1112
경기도,2020,7247,1,978,3.6,14.105,35.5,1118
강원도,2020,3851,7,584,6.18,14.306,36.8,1096
충청북도,2020,45073,2,5354,6.0,16.221,36.0,1065
충청남도,2020,2799,3,370,4.0,17.617,34.9,1061
전라북도,2020,13838,1,1309,7.78,17.802,35.1,1043
전라남도,2020,5702,3,788,5.58,19.355,35.7,1081
경상북도,2020,98440,2,9764,10.33,17.856,36.9,1133
경상남도,2020,5716,0,487,9.86,25.393,37.8,1104
제주도,2020,3,0,19,7.5,15.961,36.3,1133
서울특별시,2021,1,0,2,18.0,10.47,36.5,1102
부산광역시,2021,65,0,6,3.0,26.447,35.6,1085
대구광역시,2021,1945,0,233,22.0,6.715,37.2,1118
인천광역시,2021,15,0,2,8.5,5.298,34.8,1270
광주광역시,2021,511,3,54,14.0,11.38,35.1,1093
대전광역시,2021,485,0,47,21.0,8.388,36.1,1202
울산광역시,2021,159,0,30,7.0,11.453,34.2,1212
세종특별자치시,2021,3570,0,503,16.0,10.325,34.8,1148
경기도,2021,6716,0,895,16.0,6.443,36.3,1184
강원도,2021,5483,1,735,14.91,8.413,36.9,1130
충청북도,2021,46063,0,4927,16.25,10.68,36.4,1127
충청남도,2021,2619,0,293,14.33,8.574,35.8,1145
전라북도,2021,13034,0,1067,13.1,10.595,36.3,1123
전라남도,2021,5779,0,777,6.33,21.719,36.5,1164
경상북도,2021,101503,1,9432,13.58,9.077,37.0,1070
경상남도,2021,4145,0,472,15.86,18.255,38.3,1085
제주도,2021,1,0,0,7.5,11.189,34.2,1172
서울특별시,2022,1,0,2,10.0,22.143,36.1,1141
부산광역시,2022,77,0,8,1.0,10.087,33.1,1194
대구광역시,2022,1899,0,214,35.0,6.064,37.8,1260
인천광역시,2022,27,0,4,2.0,21.557,35.2,1208
광주광역시,2022,339,5,35,16.0,9.889,34.8,1207
대전광역시,2022,468,2,50,19.0,10.611,35.7,1202
울산광역시,2022,218,0,42,10.0,8.633,35.2,1283
세종특별자치시,2022,3678,2,555,15.0,17.51,35.1,1215
경기도,2022,6181,0,831,7.2,23.238,35.4,1205
강원도,2022,5741,2,1540,8.77,14.588,37.7,1172
충청북도,2022,45070,0,4962,11.25,14.77,36.0,1214
충청남도,2022,2282,5,280,8.83,12.617,35.0,1207
전라북도,2022,13230,0,1144,9.3,8.562,35.8,1174
전라남도,2022,6532,0,911,7.78,10.93,35.0,1161
경상북도,2022,101250,25,10017,16.07,8.255,37.9,1191
경상남도,2022,4317,0,492,18.0,9.735,36.6,1171
제주도,2022,0,0,0,12.0,12.73,37.5,1221
서울특별시,2023,0,0,0,18.0,21.029,35.8,1072
부산광역시,2023,92,0,13,11.5,25.023,35.7,1095
대구광역시,2023,1902,0,225,24.0,16.382,37.7,1144
인천광역시,2023,29,0,4,2.0,17.662,34.6,1166
광주광역시,2023,219,2,36,18.0,37.063,35.7,1092
대전광역시,2023,679,1,46,23.0,30.73,35.7,1150
울산광역시,2023,320,0,41,6.0,13.87,34.9,1136
세종특별자치시,2023,2818,1,492,19.0,34.968,35.9,1073
경기도,2023,6260,0,889,13.4,23.081,35.6,1097
강원도,2023,5679,3,815,15.31,16.882,38.4,1136
충청북도,2023,47024,1,4661,16.6,28.075,36.4,1074
충청남도,2023,2256,0,276,15.0,26.666,36.2,1144
전라북도,2023,12143,1,1171,16.2,30.048,37.0,1076
전라남도,2023,4898,0,966,10.08,25.062,36.6,1052
경상북도,2023,95221,12,10002,14.0,20.398,37.8,1137
경상남도,2023,3432,0,489,18.36,24.391,37.8,1059
제주도,2023,3,0,1,8.67,14.682,37.3,1063
서울특별시,2024,0,0,0,28.0,20.484,36.4,1199
부산광역시,2024,118,0,12,26.0,15.346,37.0,1220
대구광역시,2024,4498,2,453,41.0,15.971,37.2,1266
인천광역시,2024,29,0,4,7.5,15.6,35.6,1269
광주광역시,2024,98,0,18,27.0,13.545,37.2,1236
대전광역시,2024,721,1,47,31.0,20.641,36.6,1326
울산광역시,2024,299,1,40,19.0,13.63,35.9,1302
세종특별자치시,2024,3031,1,447,25.0,22.21,35.3,1242
경기도,2024,6150,0,885,19.6,21.816,36.0,1196
강원도,2024,6124,3,751,20.62,15.599,38.5,1210
충청북도,2024,47559,3,4517,20.8,22.815,37.0,1228
충청남도,2024,1907,0,242,23.67,23.948,36.7,1287
전라북도,2024,11058,1,1137,26.9,17.883,37.5,1204
전라남도,2024,4556,0,923,25.46,18.198,37.0,1236
경상북도,2024,104457,4,10252,26.4,16.241,38.9,1262
경상남도,2024,4195,0,567,34.79,15.846,39.3,1204
제주도,2024,1,0,1,18.75,18.379,35.5,1137
