지점,지점명,일시,평균최고기온(°C),월합강수량(00~24h만)(mm)
90,속초,2018-01,2.8,3.9
90,속초,2018-02,3.9,54.4
90,속초,2018-03,12.5,55
90,속초,2018-04,18.8,141.7
90,속초,2018-05,20.7,123.6
90,속초,2018-06,25.9,46.5
90,속초,2018-07,28.7,185.4
90,속초,2018-08,29.2,625
90,속초,2018-09,23.8,66.1
90,속초,2018-10,17.9,257.6
90,속초,2018-11,13.3,207.4
90,속초,2018-12,5.8,10.4
90,속초,2019-01,6.3,8.7
90,속초,2019-02,6.5,27.6
90,속초,2019-03,13.1,44.4
90,속초,2019-04,16.6,80.9
90,속초,2019-05,25,5.7
90,속초,2019-06,24.1,97.8
90,속초,2019-07,28,234.4
90,속초,2019-08,29.4,293.5
90,속초,2019-09,24.7,209.9
90,속초,2019-10,20,185.5
90,속초,2019-11,13.9,157.3
90,속초,2019-12,8.4,9.8
90,속초,2020-01,7.2,148.1
90,속초,2020-02,8,55.8
90,속초,2020-03,12.6,38
90,속초,2020-04,16.1,38.4
90,속초,2020-05,21.6,245.1
90,속초,2020-06,26.4,271.9
90,속초,2020-07,24.7,374.7
90,속초,2020-08,29.6,411.3
90,속초,2020-09,23.8,482.8
90,속초,2020-10,19,0
90,속초,2020-11,14.4,19.2
90,속초,2020-12,6,.5
90,속초,2021-01,2.9,0
90,속초,2021-02,7.7,5
90,속초,2021-03,12.6,104.2
90,속초,2021-04,16.6,97.2
90,속초,2021-05,21.5,154.9
90,속초,2021-06,23.8,43.8
90,속초,2021-07,29.3,104.1
90,속초,2021-08,28,247.1
90,속초,2021-09,24.7,141.6
90,속초,2021-10,20,216.9
90,속초,2021-11,14.4,16.2
90,속초,2021-12,7.2,68.7
90,속초,2022-01,3,3.6
90,속초,2022-02,4.3,11.1
90,속초,2022-03,11.3,114.5
90,속초,2022-04,19.1,33.5
90,속초,2022-05,23.7,9.1
90,속초,2022-06,24.7,248.7
90,속초,2022-07,27.7,213.1
90,속초,2022-08,28.4,323.7
90,속초,2022-09,24.8,263.8
90,속초,2022-10,18.2,377.1
90,속초,2022-11,16,38.4
90,속초,2022-12,4.1,.7
90,속초,2023-01,4.6,94.7
90,속초,2023-02,6.6,43.4
90,속초,2023-03,13.4,10.1
90,속초,2023-04,17.4,57
90,속초,2023-05,21.8,81
90,속초,2023-06,26.2,200.1
90,속초,2023-07,30,108.2
90,속초,2023-08,28,669.6
90,속초,2023-09,25.1,208.2
90,속초,2023-10,21.2,31.4
90,속초,2023-11,13.6,60.1
90,속초,2023-12,5.9,205
90,속초,2024-01,4.6,11.6
90,속초,2024-02,5.7,125.7
90,속초,2024-03,10,58.6
90,속초,2024-04,18.4,63.4
90,속초,2024-05,22.7,63.4
90,속초,2024-06,26.1,133.8
90,속초,2024-07,30.3,109.3
90,속초,2024-08,31.2,46.4
90,속초,2024-09,25.3,457.9
90,속초,2024-10,20.2,143.2
90,속초,2024-11,15.2,17.6
90,속초,2024-12,7.2,3.2
93,북춘천,2018-01,.6,6.5
93,북춘천,2018-02,3.6,33
93,북춘천,2018-03,13.8,32
93,북춘천,2018-04,19.5,117.2
93,북춘천,2018-05,23.9,200.5
93,북춘천,2018-06,29.3,88.6
93,북춘천,2018-07,31.8,189.7
93,북춘천,2018-08,32.9,354.6
93,북춘천,2018-09,25.7,63
93,북춘천,2018-10,17.9,102.6
93,북춘천,2018-11,12.1,56.9
93,북춘천,2018-12,3.4,17.3
93,북춘천,2019-01,4.2,.2
93,북춘천,2019-02,5.9,27.5
93,북춘천,2019-03,12.3,30.9
93,북춘천,2019-04,18.3,49.7
93,북춘천,2019-05,26.6,31.4
93,북춘천,2019-06,27.8,88.7
93,북춘천,2019-07,29.9,252.2
93,북춘천,2019-08,31.2,186.6
93,북춘천,2019-09,26.5,147.9
93,북춘천,2019-10,20.7,48.4
93,북춘천,2019-11,11.9,57.8
93,북춘천,2019-12,4.3,10.5
93,북춘천,2020-01,5.6,55.9
93,북춘천,2020-02,6.9,35.3
93,북춘천,2020-03,13.5,13.7
93,북춘천,2020-04,17.4,17
93,북춘천,2020-05,23.7,122.2
93,북춘천,2020-06,29.5,79.1
93,북춘천,2020-07,27.9,183.6
93,북춘천,2020-08,29.6,821.2
93,북춘천,2020-09,24.9,153.1
93,북춘천,2020-10,19.1,.3
93,북춘천,2020-11,12.1,75.2
93,북춘천,2020-12,2.9,4.8
93,북춘천,2021-01,.7,14.3
93,북춘천,2021-02,7.6,5.6
93,북춘천,2021-03,14.3,100.1
93,북춘천,2021-04,19.5,110.2
93,북춘천,2021-05,22.1,159.3
93,북춘천,2021-06,27.5,128.1
93,북춘천,2021-07,32.7,202
93,북춘천,2021-08,29.3,122.5
93,북춘천,2021-09,26.4,103.7
93,북춘천,2021-10,19.6,64.4
93,북춘천,2021-11,12.2,49.8
93,북춘천,2021-12,3.8,5.2
